ko,figure,gender_real
재훈이 형하고 나지.,나,1
"이 환자는 중국 우한(무한)으로 여행을 다녀온 뒤 우한 폐렴에 감염된 60대 시카고 환자의 남편으로, 미국에서는 여섯 번째 우한 폐렴 환자이자 중국에 다녀오지 않고 감염된 미국 내 첫 사례다.",남편,1
사실 관계 임야의 원래의 소유자인 AAA1은 그 처 AAA2와의 사이에 아들이 없어 9촌 조카인 AAA3을 데려와 양자로 삼았으나 입양 신고를 하지 아니하고 입양 신고에 갈음하여 친생 장남으로 출생 신고하였다.,AAA3,1
"AAA의 아버지 이미지는 먹이고 보살피고 교육시켜주는 아버지로서, 자녀들을 책임지는 진짜 가정의 친부와 똑같은 이미지로 효도의 대상으로서의 성격이 강했다.",친부,1
"독실한 기독교 신자인 그녀는 ""궁극적으로는 하나님의 영광을 위해 연주하는 천상의 피아니스트가 되고 싶은 것이 최고의 바람""이라고 덧붙였다.",하나님,1
>아버님의 입담을 좀 많이 닮았고요.,아버님,1
아내가 남편의 동의를 얻어 다른 남성의 정자를 기증받아 아이를 낳았다면 남편이 아기의 아버지가 되며 그는 이를 거부할 수 없다고 규정했다.,그,1
프로 야구에 대한 나의 기억은 사실상 나의 청소년기와 함께 한다.,소년,1
아쇼카 왕은 이 같은 신기한 일을 보고서 자신의 잘못을 뉘우치고 향기나는 우유를 남은 뿌리에 부었다.,왕,1
"진짜 사랑꾼이야, 형.",형,1
"친애하는 Mr. AAA1님, 귀사의 해외 여행을 위한 부동산 목록에 대해 문의해 주셔서 감사합니다.",Mr. AAA1,1
남부 푸에르토 몬트 지역에서는 당시 초등학교 5학년 소녀(11)가 어머니의 남자친구에게 약 2년간 상습적으로 성폭행당해 임신한 것으로 드러났다.,남자친구,1
그는 '샘슨의 아들(Son of Sampson)'이라고 별명을 붙인 이 화석을 2017년 말부터 캔자스대학 자연사박물관에 임대해 전시를 해오다 최근 이를 경매 매물로 내놓았다.,아들,1
왕과 왕후가 사위의 글공부를 챙기기도 하고 사위의 글씨에 대한 상으로 선물을 보내는 등 사위를 생각하는 마음이 각별하였음을 알 수 있다.,왕,1
초 공자 위는 장차 임금을 시해하고 자신이 왕이 되고자 하는 야심이 있어서 왕자 흑굉과 태재를 변방에 나가 성을 쌓게 하고서 자신은 내부에서 일을 진행하려고 했다.,위,1
"전형적인 중인 산학자 집안 출신으로, 형인 경선여의 아들 경연이 구일집의 저자 홍정하(1684∼1727)의 외조부이기도 하다.",조부,1
배우출신이었던 페론 전대통령의 부인 에바 '에비타' 두아르테는 아르헨티나 빈민의 우상이었으며 남편이 현직에 있던 52년 사망했는데그녀의 묘는 페론 정권이 군사 쿠데타로 무너진후 훼손당해 시신이 수년간 이탈리아에 보관되기도 했다.,페론,1
보건당국은 서아프리카에서 돌아온 지 21일이 안 된 한 남성 의사가 39.4도의 고열 증상을 보여 맨해튼 동북부에 위치한 할렘 자택에서 응급차에 실려 인근 BBB 병원으로 긴급 이송됐다고 설명했다.,남성,1
아버지는 나이에 숫자 4가 들어갑니다.,아버지,1
"본고에서 주목한 것은 김양기 고유의 남채화에 대한 해석은 아버지 김홍도의 작품보다, 중국의 어떤 ""남채화도""보다 더욱더 아름답게 그려졌다는 점이다.",아버지,1
남자친구가 책임을 진다고 해도 어차피 상하는 건 내 몸이다.,남자친구,1
"외손자가 감기에 걸려 아파하는 모습에 혹시나 바람을 쏘이게 해서 아픈 것인지 걱정하면서도, 사위가 궐에 들어오면 아이들을 만나게 해 줄 것이라며 딸의 걱정을 덜어주려고 한다.",외손자,1
첫째 왕자와 둘째 왕자를 비롯한 많은 사람들이 겉모습을 볼 때 그 이면을 꿰뚫어 보는 한 사람이 있었으니 셋째 왕자가 바로 그다.,그,1
그는 1898년 3월 독립협회가 주최한 만민공동회에서 러시아의 대조선 이권 침탈을 규탄하는 반러 운동에 몰두하였고 1899년 고종황제 퇴위 음모 사건에 연루되어 옥에 갇히면서 반러의식이 더욱 굳어진 것으로 보인다.,황제,1
"아빠는 집에 오면 늘 엄마에게 뽀뽀를 했고, 엄마는 아빠를 꼭 껴안았다.",아빠,1
가정에서 연주되는 피아노 음악은 바깥 일이 힘든 남편의 편안한 휴식과 자녀들의 심신의 안정을 위해 상류 사회의 지성과 미모를 갖춘 어머니가 하는 일이라는 이미지를 만들어 내고 있었다.,남편,1
15살 때인 1985년 AAA로부터 성적 학대를 당했다며 일리노이 주의 한 40대 남성이 경찰에 낸 고발장이 일간 BBB에 첫 보도됐다.,남성,1
">아, 형님 실망하지 않습니다.",형님,1
"그녀를 치료한 BBB 병원의 AAA1 박사는 ""AAA2가 완전히 나았으며 남에게 에볼라 바이러스를 옮기지 않는다""고 밝혔다.",박사,1
"환자의 아버지는 NDTV에 ""내 아들은 도움을 요청했지만 아무도 돕지 않았다""며 ""내 아들에게 일어난 일이 다른 누군가에게 또 발생하면 안 된다""고 말했다.",아들,1
동무가 살던 시골로 간 주인공은 그의 어머니에게 믿음직스러운 아들의 자리를 채워주려는 여러 일을 돕기 시작한다.,아들,1
아버지가 글로벌 마셜 플랜(Global Marshall Plan)에서 일해 어릴 때부터 자연스럽게 환경에 관심을 갖게 됐다.,아버지,1
웅이 거짓 변하여 그와 결혼하니 잉태해서 아들을 낳았고 단군왕검이라 칭하였다.,그,1
부인 메건 마클(37) 왕자비와 3개월 된 첫째 아들 아치도 동했했다.,아들,1
"AAA 천상화에는 세계 미술사에서 제일 유명한 장면 가운데 하나인, 하느님이 오른팔을 뻗어서 아담에게 생명력을 불어넣는 '아담의 창조'를 포함하고 있다.",하느님,1
"한국 화단의 거목 AAA 화백의 장남인 그는 BBB1 동양화과와 같은 대학원을 졸업했고, 미국에 유학을 가 BBB2 미술대학 조소과에서 석사학위를 받았다.",장남,1
"2013년 FFF 공모전에서 3위를 차지했던 일러스트레이터 AAA가 주인공으로, 그는 2002년 국제노마 콩쿠르에서 그랑프리를 수상했고 당시 작품이 국제아동청소년도서협의회가 선정한 아동도서 최고작으로 꼽히기도 했다.",소년,1
1437년에 베로나는 베로나 사람이고 구두 만들 가죽을 잘라서 파는 사람의 아들인 발다사르 디 바띠스타를 한 달에 8베로나 리라를 주는 조건으로 고용하였다는 기록이 있다.,아들,1
