ko,figure,gender_real
가정에서 연주되는 피아노 음악은 바깥 일이 힘든 남편의 편안한 휴식과 자녀들의 심신의 안정을 위해 상류 사회의 지성과 미모를 갖춘 어머니가 하는 일이라는 이미지를 만들어 내고 있었다.,남편,1
>남편분한테 배운 거예요?,남편,1
"제1장 자유 평등으로의 길에서는 '널리 인간을 이롭게/단군', '악법도 법이다/소크라테스', '원수를 사랑하라/예수', '양심은 누구에게 맡길 수 없다/마르틴 루터', '자유 아니면 죽음을 달라/패트릭 헨리', '네 가지 자유/프랭클린 루스벨트 대통령' 등의 연설을 실었다.",예수,1
아내가 남편의 동의를 얻어 다른 남성의 정자를 기증받아 아이를 낳았다면 남편이 아기의 아버지가 되며 그는 이를 거부할 수 없다고 규정했다.,그,1
그의 이런 노력은 그의 사후 두 아들을 통해 지금까지 계속되고 있다.,아들,1
"김일성의 역사적 지위는 고조선의 단군, 고구려의 주몽과 같은 건국의 시조와 같은 역사의 설립자로서 추앙되고, 그의 사망과 함께 주체력을 탄생시켜 사회적 생명으로써 시간성을 연장한다.",단군,1
전기 면담을 통해 참여자는 한 연구자에게 자신이 어떠한 삶의 과정을 거쳐왔고 살아왔는지 솔직하고 허심탄회하게 이야기 하게 된다.,참여자,1
"왕 부장은 이날 오전 베이징(북경) 댜오위타이(조어대) 국빈관 '팡페이위안'(방비원)에서 9·19공동성명 발표 10주년을 계기로 열린 북핵 세미나에 참석, 6자 회담 구성원은 모두 유엔 회원국이라며 이같이 말했다.",왕,1
"대학생 시절 학과 대표 소프트볼 선수이었고, 가정의 평화를 위해서 남편의 야구 관전 취미 생활을 전폭적으로 지지하고 있는 아내 역시 둘도 없는 BBB의 동반자이다.",남편,1
"왕은 포도주와 금, 은으로 만든 빵을 하사하고 다시 돌아와 권좌에 앉는다.",왕,1
제한설은 처가 남편의 자를 임신할 수 없는 이유가 있는 때에는 친생자 추정의 효력을 제한하는 견해이다.,남편,1
슈퍼 전파자 의혹을 받는 환자는 지난 2일 뉴욕주에서 두 번째 확진 판정을 받고 뉴욕시 맨해튼의 한 병원에서 치료 중인 50대 남성 변호사다.,남성,1
"아빠는 집에 오면 늘 엄마에게 뽀뽀를 했고, 엄마는 아빠를 꼭 껴안았다.",아빠,1
